M  = 7648
NX = 200
NY = 200

u_rad, v_rad, vis_r, vis_i, noise_std_dev
1.365530e-02, -5.369620e-02, -4.222594e+00, 2.592497e+00, 9.673910e-02
1.414454e-01, -1.080049e-01, -2.906266e+00, -9.715626e-01, 5.871518e-02
-3.467379e-02, -7.162614e-02, -3.248568e+00, -7.523574e+00, 1.686016e-01
-5.463968e-03, -3.936188e-02, -2.232631e+00, -8.741897e+00, 1.684235e-01
3.267457e-01, 1.523154e-01, -2.080140e+00, 2.537788e+00, 5.916301e-02
-3.357955e-01, 9.945862e-02, 7.888452e-01, 1.646642e+00, 6.541161e-02
-2.846850e-01, 6.196867e-02, -1.141619e+00, 2.221055e+00, 9.146477e-02
-1.568947e-01, 7.660022e-03, -3.191421e+00, -3.019107e-01, 4.655697e-02
-3.330137e-01, 4.403891e-02, -2.161942e+00, -1.873628e+00, 6.463416e-02
-3.038044e-01, 7.630318e-02, -2.029853e+00, -2.327072e+00, 6.891561e-02
2.840478e-02, 2.679813e-01, -1.749327e+00, 2.373087e+00, 6.052466e-02
5.111054e-02, -3.748992e-02, 1.832920e+00, 1.984021e+00, 1.076970e-01
1.789006e-01, -9.179849e-02, -2.405398e+00, 2.222744e+00, 8.673330e-02
2.781319e-03, -5.541958e-02, -6.558440e+00, -2.288220e-01, 1.710557e-01
3.199121e-02, -2.315545e-02, -6.337144e+00, -9.460811e-01, 2.293301e-01
3.642012e-01, 1.685216e-01, 1.835194e+00, 2.235189e+00, 9.225661e-02
1.277902e-01, -5.430866e-02, -2.336536e+00, 1.179000e-01, 9.773902e-02
-4.832926e-02, -1.792974e-02, 1.262016e-01, 8.560844e+00, 2.068165e-01
-1.911930e-02, 1.433448e-02, -5.758045e-01, 9.147701e+00, 2.043733e-01
3.130907e-01, 2.060116e-01, 4.830165e+00, 2.331307e-01, 1.232019e-01
-1.761191e-01, 3.637890e-02, 1.091063e+00, -5.852864e-02, 5.471784e-02
-1.469094e-01, 6.864310e-02, 1.093837e+00, 6.575396e-01, 4.555137e-02
1.853000e-01, 2.603199e-01, -2.853945e+00, -6.735742e-01, 6.055715e-02
2.920986e-02, 3.226431e-02, 1.126769e+01, 5.535845e-01, 3.393836e-01
3.614196e-01, 2.239413e-01, -5.122381e-01, -4.661204e+00, 1.322616e-01
3.322099e-01, 1.916771e-01, -1.278181e+00, -4.610447e+00, 1.056433e-01
-4.335829e-02, 1.706420e-01, 9.579373e-01, 1.447874e+00, 4.109544e-01
2.552288e-01, 5.495453e-02, 1.692217e+00, 1.938497e+00, 3.540895e-01
-8.097145e-02, 1.544388e-01, -2.020115e+00, 1.874428e+00, 4.010461e-01
-2.979047e-02, 1.169448e-01, 8.985929e-02, 3.273138e+00, 9.868050e-01
9.815797e-02, 6.262630e-02, -3.146714e-01, -7.330622e+00, 4.007412e-01
-7.835842e-02, 9.901853e-02, -2.338429e+00, -6.479254e-01, 4.286548e-01
-4.893118e-02, 1.312806e-01, -1.982346e+00, -7.670087e-02, 3.378789e-01
2.840069e-01, 3.229326e-01, 1.828750e-01, 3.923169e+00, 4.017967e-01
2.985893e-01, -1.156873e-01, 2.253571e+00, 7.541209e-01, 5.827512e-02
-3.761230e-02, -1.620352e-02, 4.974365e+00, 8.348896e+00, 3.501770e-01
1.356882e-02, -5.369725e-02, -4.335681e+00, 1.998283e+00, 9.207627e-02
1.415173e-01, -1.080156e-01, -2.851307e+00, -1.237926e+00, 4.537806e-02
-3.500014e-02, -7.162355e-02, -2.357146e+00, -7.923885e+00, 1.833178e-01
-5.571803e-03, -3.936146e-02, -1.633977e+00, -8.964540e+00, 2.367852e-01
3.273658e-01, 1.522910e-01, -1.955725e+00, 2.562748e+00, 7.143745e-02
-3.362003e-01, 9.948373e-02, 8.004001e-01, 1.583831e+00, 7.757500e-02
-2.850195e-01, 6.198995e-02, -1.205542e+00, 2.275327e+00, 9.166105e-02
-1.570718e-01, 7.671752e-03, -3.143997e+00, -3.739956e-01, 6.170767e-02
-3.335878e-01, 4.406387e-02, -2.005821e+00, -2.113342e+00, 9.414846e-02
-3.041600e-01, 7.632589e-02, -2.061078e+00, -2.345473e+00, 9.066957e-02
2.877350e-02, 2.679793e-01, -1.615740e+00, 2.470458e+00, 7.053401e-02
5.118094e-02, -3.749375e-02, 1.910854e+00, 2.114860e+00, 1.441710e-01
1.791291e-01, -9.181193e-02, -2.464661e+00, 2.083953e+00, 1.199624e-01
